input : 1.000000 ^ 1.000000 => output = 0.058190 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.147706 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.115852 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.879200 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.880567 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.143311 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.146284 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.089418 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.144679 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.877277 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.878681 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.880054 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.146009 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.880426 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.119915 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.144868 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.070980 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.878972 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.880344 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.881671 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.135739 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.881244 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.145616 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.144489 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.880638 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.881961 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.088388 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.882525 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.145250 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.882826 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.115024 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.127321 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.143273 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.880457 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.881762 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.883053 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.884281 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.145241 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.177143 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881753 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.883020 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.144071 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.135671 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881659 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.142761 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.882010 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.156011 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881066 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.141972 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.098882 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.880528 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.881858 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.141903 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.096322 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.881352 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.141093 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.128388 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.880205 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.881541 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.140713 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.881920 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.129982 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881648 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.882919 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.197856 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.139188 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.879769 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.123378 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.879664 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.881020 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.139685 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881432 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.882707 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.091789 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.139697 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.882309 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.139430 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.882707 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.095674 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.138655 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.097765 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.881362 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.882638 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.883907 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.099190 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884214 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.139525 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884557 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.140279 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.138222 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.883126 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.137967 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.883502 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.122488 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.883364 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.884602 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.138357 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884935 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.134605 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884484 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.086909 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.885013 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.138139 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.137159 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.151515 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.882403 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.883675 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.136501 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884053 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.093070 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.884486 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.136491 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884850 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.176439 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.883256 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.135479 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.111382 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.882500 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.883771 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.884995 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.136022 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.885347 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.109754 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.103932 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.884444 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.135261 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.884841 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.135029 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.885210 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.886401 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.091193 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.886791 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.112332 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.135032 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.886003 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.134790 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.886349 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.887507 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.098074 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.134695 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.886961 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.091354 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.887361 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.097150 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.887627 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.888752 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.135468 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889033 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.127775 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.134351 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.887895 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.072334 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.888530 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.889632 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.135097 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.889912 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.111476 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889863 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.134797 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.890141 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.096353 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.890388 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.134645 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.133731 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.156247 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.887731 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.888853 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.132953 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.889170 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.155994 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.888095 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.126949 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.887770 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.888868 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.132665 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889192 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.132422 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.091925 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.888765 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.131736 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889087 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.890171 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.173890 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.090294 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.887870 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.130944 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.888217 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.889315 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.098278 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.889540 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.131485 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.140973 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.888095 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.889184 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.130933 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.079532 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.888971 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.890033 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.130995 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.890360 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.130762 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.140930 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.888904 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.096434 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.889172 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.129729 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889501 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.087176 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.129122 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.889174 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.890257 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.161080 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.128335 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.888303 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.889409 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.890465 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.062524 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.129171 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.890459 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.891497 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.892499 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.130152 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.125397 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.891403 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.086370 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.891783 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.129344 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.892065 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.893073 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.129699 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.076323 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.128561 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.093348 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.891365 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.892392 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.893383 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.129063 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.893637 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.096279 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.128343 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.893121 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.100638 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.893205 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.128176 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.893487 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.099592 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.893607 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.128014 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.893882 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.894821 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.141556 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.127391 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.091989 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.892655 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.893624 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.081229 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.894021 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.894978 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.128094 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.895214 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.896143 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.111156 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.127777 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.127688 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.893941 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.894879 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.127317 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.895146 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.117979 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.126400 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.894205 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.895164 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.896070 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.086784 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.126892 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.895686 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.126658 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.895919 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.103661 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.125887 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.128490 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.893863 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.894803 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.125448 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.054671 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.894830 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.895768 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.110432 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.125021 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.894984 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.895917 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.114299 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.124720 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.895058 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.895992 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.094529 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.896132 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.125143 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.896392 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.897275 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.116627 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.897022 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.125318 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.124564 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.896608 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.123843 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.896219 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.897115 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.897977 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.096591 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.124727 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.069554 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.897023 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.124254 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.897276 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.110223 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.123448 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.896507 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.897385 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.898262 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.899098 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.124788 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.133482 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.897831 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.083866 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.898117 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.123880 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.123149 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.158379 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.895632 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.896551 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.090916 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.896732 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.122484 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.897012 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.897888 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.122804 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.071539 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.897694 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.898554 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.899407 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.123342 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.063326 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.122411 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.898677 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.096698 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.898749 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.123619 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.121530 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.897724 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.898571 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.899424 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.122339 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.899632 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.109541 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.899465 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.122043 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.899698 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.102231 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.899644 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.141125 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.120914 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.898250 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.120730 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.079580 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.897979 , expected : 1.000000
input : 0.000000 ^ 1.000000 => output = 0.898821 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.053630 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.120578 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.898835 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.899681 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.081579 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.899940 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.121033 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.900174 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.082558 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.900414 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.901222 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.121447 , expected : 0.000000
input : 0.000000 ^ 0.000000 => output = 0.120754 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.900830 , expected : 1.000000
input : 1.000000 ^ 1.000000 => output = 0.097244 , expected : 0.000000
input : 1.000000 ^ 0.000000 => output = 0.900860 , expected : 1.000000
input : 1.000000 ^ 0.000000 => output = 0.901650 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.121036 , expected : 0.000000
input : 1.000000 ^ 1.000000 => output = 0.092838 , expected : 0.000000
input : 0.000000 ^ 1.000000 => output = 0.901134 , expected : 1.000000
input : 0.000000 ^ 0.000000 => output = 0.120402 , expected : 0.000000
